Car_ID,Service_Type,Service_Date,Service_Cost,Service_Center
C1146,Brake Service,2020-02-02,8335,AutoCare
C1147,Brake Service,2020-08-31,9395,Mechanix
C1148,Battery Replacement,2023-12-29,8549,Mechanix
C1149,Tyre Change,2023-02-26,13987,FastFix
C1150,Engine Repair,2021-12-31,11525,FastFix
C1151,Brake Service,2022-06-05,11851,Mechanix
C1152,Brake Service,2020-06-03,13251,AutoCare
C1153,Full Service,2022-03-18,8678,FastFix
C1154,Full Service,2020-01-06,11479,Pitstop
C1155,Oil Change,2023-06-21,19509,Pitstop
C1156,Battery Replacement,2020-12-17,12327,Mechanix
C1157,Tyre Change,2021-08-04,15977,AutoCare
C1158,Battery Replacement,2020-04-20,10030,Mechanix
C1159,Brake Service,2021-03-01,8329,Pitstop
C1160,Engine Repair,2022-12-21,7037,CarZ
C1161,Engine Repair,2020-09-18,5187,FastFix
C1162,Brake Service,2023-06-19,9554,AutoCare
C1163,Oil Change,2020-01-14,8805,Mechanix
C1164,Full Service,2020-07-03,5095,AutoCare
C1165,Engine Repair,2021-02-08,17703,Pitstop
C1166,Oil Change,2022-11-13,5671,FastFix
C1167,Battery Replacement,2020-05-26,3978,Speed Garage
C1168,Engine Repair,2023-06-03,19021,FastFix
C1169,Full Service,2022-04-17,11891,Pitstop
C1170,Oil Change,2021-12-07,9755,Mechanix
C1171,Battery Replacement,2020-07-30,12712,Pitstop
C1172,Brake Service,2022-10-20,14783,AutoCare
C1173,Oil Change,2022-07-11,3581,Pitstop
C1174,Tyre Change,2023-01-27,18494,Pitstop
C1175,Full Service,2021-05-06,3081,Speed Garage
C1176,Brake Service,2022-07-27,9684,FastFix
C1177,Oil Change,2022-09-15,14824,Pitstop
C1178,Tyre Change,2020-05-31,2137,Pitstop
C1179,Engine Repair,2021-12-21,3447,CarZ
C1180,Oil Change,2021-03-21,12926,FastFix
C1181,Oil Change,2020-12-25,15536,Speed Garage
C1182,Battery Replacement,2022-09-29,11534,CarZ
C1183,Brake Service,2021-06-14,15138,Pitstop
C1184,Full Service,2022-12-24,4031,Speed Garage
C1185,Oil Change,2022-07-19,15236,CarZ
C1186,Engine Repair,2021-05-24,8947,CarZ
C1187,Brake Service,2022-11-17,18693,CarZ
C1188,Full Service,2023-11-06,11309,Mechanix
C1189,Full Service,2023-08-29,13988,Speed Garage
C1190,Engine Repair,2021-04-04,6435,FastFix
C1191,Brake Service,2020-08-08,6438,FastFix
C1192,Engine Repair,2020-10-13,8382,FastFix
C1193,Engine Repair,2022-09-08,13617,AutoCare
C1194,Brake Service,2020-03-27,8309,Pitstop
C1195,Engine Repair,2023-06-10,8039,AutoCare
C1196,Brake Service,2022-05-13,18181,Pitstop
C1197,Battery Replacement,2021-09-18,12783,CarZ
C1198,Tyre Change,2021-01-04,14296,Speed Garage
C1199,Brake Service,2023-05-14,2424,Speed Garage
C1200,Tyre Change,2020-01-25,15539,FastFix
C1201,Engine Repair,2022-10-13,10986,FastFix
C1202,Brake Service,2021-04-01,13703,FastFix
C1203,Oil Change,2022-07-30,14146,CarZ
C1204,Oil Change,2020-08-16,8043,Pitstop
C1205,Brake Service,2022-03-19,16226,Mechanix
C1206,Engine Repair,2022-07-02,12991,AutoCare
C1207,Brake Service,2023-05-07,19195,AutoCare
C1208,Oil Change,2022-08-16,17665,CarZ
C1209,Tyre Change,2021-03-25,17878,CarZ
C1210,Tyre Change,2020-07-10,11355,Speed Garage
C1211,Full Service,2023-08-05,12732,Speed Garage
C1212,Full Service,2022-02-06,14917,Pitstop
C1213,Full Service,2020-05-16,19443,Speed Garage
C1214,Brake Service,2021-08-07,17016,AutoCare
C1215,Engine Repair,2023-09-20,2610,Speed Garage
C1216,Brake Service,2020-08-11,14494,FastFix
C1217,Oil Change,2020-09-09,9608,Speed Garage
C1218,Brake Service,2023-05-10,8882,Mechanix
C1219,Tyre Change,2021-11-07,3057,Pitstop
C1220,Brake Service,2020-12-13,9476,Pitstop
C1221,Brake Service,2021-05-15,10331,Speed Garage
C1222,Tyre Change,2021-10-23,17586,Pitstop
C1223,Full Service,2022-02-11,9785,AutoCare
C1224,Oil Change,2020-03-19,3349,Pitstop
C1225,Brake Service,2021-08-04,12873,CarZ
C1226,Tyre Change,2023-07-09,7852,FastFix
C1227,Tyre Change,2020-04-13,13149,Speed Garage
C1228,Battery Replacement,2022-07-22,19125,Mechanix
C1229,Battery Replacement,2021-01-07,15376,Pitstop
C1230,Brake Service,2023-08-29,8471,Pitstop
C1231,Tyre Change,2022-07-26,11119,Mechanix
C1232,Brake Service,2021-06-20,2342,FastFix
C1233,Brake Service,2022-11-10,15684,FastFix
C1234,Brake Service,2023-03-09,9020,Mechanix
C1235,Battery Replacement,2020-01-19,7809,CarZ
C1236,Battery Replacement,2022-07-06,13137,Speed Garage
C1237,Battery Replacement,2021-07-15,15122,CarZ
C1238,Battery Replacement,2020-12-22,6540,Mechanix
C1239,Engine Repair,2022-06-16,18058,AutoCare
C1240,Brake Service,2020-04-17,19237,Pitstop
C1241,Full Service,2020-10-04,13372,Speed Garage
C1242,Full Service,2021-04-09,14924,Mechanix
C1243,Battery Replacement,2022-04-28,3198,Pitstop
C1244,Brake Service,2022-07-15,10907,Pitstop
C1245,Tyre Change,2021-02-13,10826,Speed Garage
C1246,Full Service,2023-09-12,11540,Pitstop
C1247,Full Service,2023-09-24,10685,Pitstop
C1248,Oil Change,2022-12-16,10227,CarZ
C1249,Battery Replacement,2023-02-19,8199,Pitstop
C1250,Brake Service,2020-07-25,17377,AutoCare
C1251,Full Service,2021-06-29,11533,Pitstop
C1252,Brake Service,2021-02-10,7781,Mechanix
C1253,Full Service,2023-01-28,3646,CarZ
C1254,Full Service,2020-02-20,7881,Pitstop
C1255,Oil Change,2021-10-18,17009,CarZ
C1256,Oil Change,2020-10-17,4799,CarZ
C1257,Engine Repair,2023-06-26,16472,Mechanix
C1258,Oil Change,2020-07-11,16639,Mechanix
C1259,Oil Change,2022-03-03,16556,CarZ
C1260,Brake Service,2020-04-20,17054,Speed Garage
C1261,Tyre Change,2020-12-04,6454,CarZ
C1262,Oil Change,2020-09-30,7229,FastFix
C1263,Battery Replacement,2021-07-15,5723,Speed Garage
C1264,Engine Repair,2021-12-03,6451,FastFix
C1265,Battery Replacement,2023-01-10,14642,FastFix
C1266,Brake Service,2022-12-30,14705,FastFix
C1267,Full Service,2022-09-05,14543,FastFix
C1268,Full Service,2021-08-18,7912,Speed Garage
C1269,Engine Repair,2021-09-01,16116,FastFix
C1270,Engine Repair,2020-10-23,9370,FastFix
C1271,Full Service,2023-07-15,8323,FastFix
C1272,Battery Replacement,2022-08-03,8829,CarZ
C1273,Full Service,2021-04-08,19976,Pitstop
C1274,Engine Repair,2021-09-29,9324,Mechanix
C1275,Full Service,2020-10-27,6892,FastFix
C1276,Tyre Change,2021-12-25,15663,Speed Garage
C1277,Brake Service,2020-07-13,9655,Mechanix
C1278,Tyre Change,2020-04-22,6774,Mechanix
C1279,Oil Change,2020-06-05,12674,Mechanix
C1280,Oil Change,2021-03-03,13318,Mechanix
C1281,Brake Service,2023-02-05,14431,Mechanix
C1282,Oil Change,2022-04-18,3862,FastFix
C1283,Tyre Change,2023-02-04,14799,Mechanix
C1284,Tyre Change,2020-12-21,14250,Mechanix
C1285,Oil Change,2022-05-13,8964,CarZ
C1286,Battery Replacement,2022-10-21,18246,FastFix
C1287,Full Service,2022-04-01,3732,Speed Garage
C1288,Tyre Change,2021-06-21,17008,Pitstop
C1289,Engine Repair,2023-04-05,18072,FastFix
C1290,Brake Service,2020-12-05,10646,AutoCare
C1291,Engine Repair,2022-01-10,5124,CarZ
C1292,Battery Replacement,2023-11-21,15370,CarZ
C1293,Tyre Change,2022-08-22,8746,Pitstop
C1294,Tyre Change,2022-03-26,16151,Pitstop
C1295,Battery Replacement,2023-02-12,5488,CarZ
C1296,Oil Change,2020-09-12,19118,Pitstop
C1297,Engine Repair,2021-08-13,2162,FastFix
C1298,Tyre Change,2021-05-25,10853,Mechanix
C1299,Battery Replacement,2023-06-01,4110,AutoCare
C1300,Full Service,2021-04-18,4324,AutoCare
C1301,Brake Service,2020-04-24,6746,Pitstop
C1302,Engine Repair,2020-12-01,6603,FastFix
C1303,Full Service,2022-10-03,18951,FastFix
C1304,Brake Service,2023-05-07,17606,AutoCare
C1305,Engine Repair,2021-12-22,15252,AutoCare
C1306,Battery Replacement,2020-06-13,13297,AutoCare
C1307,Oil Change,2020-11-08,6029,AutoCare
C1308,Oil Change,2023-03-07,17849,FastFix
C1309,Tyre Change,2020-07-06,2492,Speed Garage
C1310,Tyre Change,2020-06-08,2391,Pitstop
C1311,Brake Service,2023-08-10,6630,AutoCare
C1312,Tyre Change,2020-03-03,7497,Pitstop
C1313,Full Service,2023-05-03,13420,CarZ
C1314,Battery Replacement,2023-01-13,15100,AutoCare
C1315,Brake Service,2020-01-27,19391,FastFix
C1316,Engine Repair,2021-11-23,11385,FastFix
C1317,Battery Replacement,2023-02-12,10690,Speed Garage
C1318,Engine Repair,2022-06-06,8347,CarZ
C1319,Tyre Change,2023-03-11,15043,Speed Garage
C1320,Engine Repair,2021-03-29,13236,FastFix
C1321,Engine Repair,2020-10-11,17221,Mechanix
C1322,Oil Change,2021-09-17,11723,CarZ
C1323,Engine Repair,2020-04-06,3899,Mechanix
C1324,Brake Service,2021-08-28,11394,Pitstop
C1325,Tyre Change,2023-05-05,14550,CarZ
C1326,Tyre Change,2022-09-15,12565,Pitstop
C1327,Oil Change,2023-06-02,3874,AutoCare
C1328,Engine Repair,2023-02-13,6508,Pitstop
C1329,Oil Change,2022-10-01,7788,FastFix
C1330,Brake Service,2022-08-14,5273,AutoCare
C1331,Oil Change,2021-06-12,15604,Speed Garage
C1332,Brake Service,2023-04-14,13094,Mechanix
C1333,Brake Service,2020-01-02,2620,Pitstop
C1334,Full Service,2020-02-22,17578,AutoCare
C1335,Tyre Change,2020-07-21,3100,Speed Garage
C1336,Tyre Change,2023-03-11,5096,Mechanix
C1337,Oil Change,2023-08-12,19449,FastFix
C1338,Full Service,2022-12-06,10433,AutoCare
C1339,Tyre Change,2020-12-16,17444,Speed Garage
C1340,Full Service,2020-12-14,19786,CarZ
C1341,Brake Service,2020-08-06,9252,Speed Garage
C1342,Engine Repair,2020-11-17,6178,Pitstop
C1343,Full Service,2022-01-24,8286,FastFix
C1344,Battery Replacement,2022-06-11,13935,FastFix
C1345,Engine Repair,2021-12-09,10594,CarZ
C1346,Full Service,2023-12-28,13546,Mechanix
C1347,Oil Change,2023-06-04,16169,Speed Garage
C1348,Tyre Change,2020-12-31,10704,AutoCare
C1349,Tyre Change,2022-06-10,12261,AutoCare
C1350,Tyre Change,2020-08-07,13907,AutoCare
C1351,Tyre Change,2020-06-30,3551,FastFix
C1352,Brake Service,2022-10-22,18137,Pitstop
C1353,Full Service,2021-02-09,8925,Pitstop
C1354,Tyre Change,2022-03-19,4222,AutoCare
C1355,Full Service,2021-10-24,6451,AutoCare
C1356,Tyre Change,2022-10-12,6463,Speed Garage
C1357,Battery Replacement,2020-06-03,15413,AutoCare
C1358,Oil Change,2020-04-16,12368,Pitstop
C1359,Brake Service,2021-05-18,8118,Mechanix
C1360,Full Service,2020-01-13,4847,CarZ
C1361,Full Service,2020-07-10,13914,FastFix
C1362,Oil Change,2021-09-13,17228,Mechanix
C1363,Full Service,2023-09-26,2838,Mechanix
C1364,Battery Replacement,2021-09-23,7417,CarZ
C1365,Brake Service,2021-06-05,14594,Speed Garage
C1366,Oil Change,2021-11-22,12005,CarZ
C1367,Tyre Change,2020-07-30,11639,Pitstop
C1368,Oil Change,2023-10-25,12115,Mechanix
C1369,Battery Replacement,2020-12-09,2365,Speed Garage
C1370,Tyre Change,2023-04-13,8335,CarZ
C1371,Oil Change,2023-07-05,9073,Mechanix
C1372,Engine Repair,2020-03-22,8265,Pitstop
C1373,Oil Change,2023-06-21,2849,Speed Garage
C1374,Full Service,2022-03-27,18052,FastFix
C1375,Oil Change,2020-06-25,4173,AutoCare
C1376,Brake Service,2023-01-20,7132,FastFix
C1377,Battery Replacement,2023-11-20,18360,AutoCare
C1378,Full Service,2021-07-06,9636,Speed Garage
C1379,Battery Replacement,2020-05-06,9638,CarZ
C1380,Battery Replacement,2023-11-01,17092,Mechanix
C1381,Brake Service,2021-09-11,10135,Mechanix
C1382,Brake Service,2023-07-07,7951,Speed Garage
C1383,Battery Replacement,2021-03-07,18043,FastFix
C1384,Brake Service,2023-11-03,9055,FastFix
C1385,Oil Change,2022-05-03,13706,FastFix
C1386,Battery Replacement,2021-04-29,11690,AutoCare
C1387,Tyre Change,2023-07-12,15107,AutoCare
C1388,Full Service,2022-12-01,2402,CarZ
C1389,Engine Repair,2023-10-07,11206,Mechanix
C1390,Oil Change,2022-12-15,10983,Speed Garage
C1391,Tyre Change,2022-11-19,15074,FastFix
C1392,Battery Replacement,2022-04-15,14402,AutoCare
C1393,Oil Change,2022-09-05,13669,Mechanix
C1394,Engine Repair,2023-01-07,15125,AutoCare
C1395,Oil Change,2021-03-01,6545,Speed Garage
C1396,Tyre Change,2023-01-25,19796,FastFix
C1397,Engine Repair,2021-06-15,8558,CarZ
C1398,Battery Replacement,2022-09-16,14166,Speed Garage
C1399,Tyre Change,2020-07-16,10475,AutoCare
C1400,Battery Replacement,2021-03-22,3574,Pitstop
C1401,Battery Replacement,2020-06-27,9359,CarZ
C1402,Battery Replacement,2023-10-09,15185,Speed Garage
C1403,Brake Service,2023-04-21,19566,FastFix
C1404,Brake Service,2022-11-04,18172,CarZ
C1405,Brake Service,2020-09-19,18359,AutoCare
C1406,Brake Service,2020-12-12,7639,CarZ
C1407,Brake Service,2021-10-08,4003,FastFix
C1408,Oil Change,2021-04-23,13576,Speed Garage
C1409,Full Service,2022-06-30,18883,Pitstop
C1410,Full Service,2023-11-22,5086,FastFix
C1411,Full Service,2022-05-22,5194,Mechanix
C1412,Tyre Change,2023-07-30,6560,FastFix
C1413,Tyre Change,2022-05-30,9573,Speed Garage
C1414,Full Service,2021-05-03,14065,Pitstop
C1415,Brake Service,2021-02-17,14024,FastFix
C1416,Battery Replacement,2020-04-30,12088,Speed Garage
C1417,Brake Service,2023-01-17,12540,CarZ
C1418,Tyre Change,2023-02-09,6376,AutoCare
C1419,Battery Replacement,2022-03-24,4815,FastFix
C1420,Oil Change,2021-04-22,5738,CarZ
C1421,Engine Repair,2021-04-28,5852,Mechanix
C1422,Engine Repair,2023-06-17,16005,CarZ
C1423,Brake Service,2023-06-26,11110,Pitstop
C1424,Tyre Change,2022-07-14,5161,Pitstop
C1425,Tyre Change,2021-11-11,10074,Pitstop
C1426,Brake Service,2023-09-02,8607,AutoCare
C1427,Engine Repair,2023-02-09,18448,Pitstop
C1428,Tyre Change,2022-01-20,18351,CarZ
C1429,Oil Change,2022-07-22,16886,FastFix
C1430,Full Service,2020-03-28,10763,Pitstop
C1431,Full Service,2022-10-15,11133,AutoCare
C1432,Battery Replacement,2020-06-11,3170,CarZ
C1433,Brake Service,2023-12-13,7780,Mechanix
C1434,Battery Replacement,2020-06-24,6532,CarZ
C1435,Tyre Change,2022-01-26,12610,Speed Garage
C1436,Tyre Change,2020-09-20,3416,FastFix
C1437,Oil Change,2022-05-15,4460,Speed Garage
C1438,Full Service,2022-04-01,17856,Mechanix
C1439,Engine Repair,2022-11-17,11144,Speed Garage
C1440,Engine Repair,2020-11-28,2572,Mechanix
C1441,Tyre Change,2023-11-25,2108,Speed Garage
C1442,Full Service,2020-11-09,13706,AutoCare
C1443,Full Service,2021-09-19,14243,Mechanix
C1444,Full Service,2023-01-12,11220,FastFix
C1445,Brake Service,2020-06-29,3676,Mechanix
C1446,Brake Service,2023-06-20,18374,CarZ
C1447,Battery Replacement,2023-01-24,11804,CarZ
C1448,Oil Change,2020-08-16,11077,Speed Garage
C1449,Battery Replacement,2023-07-09,5880,Speed Garage
C1450,Tyre Change,2023-10-09,15935,FastFix
C1451,Battery Replacement,2023-06-23,13606,FastFix
C1452,Battery Replacement,2023-10-02,14968,Speed Garage
C1453,Brake Service,2022-05-17,10097,Speed Garage
C1454,Oil Change,2023-05-26,12090,Speed Garage
C1455,Full Service,2021-06-29,10953,Speed Garage
C1456,Tyre Change,2022-04-15,10346,AutoCare
C1457,Full Service,2020-08-08,9307,Speed Garage
C1458,Brake Service,2023-01-09,13692,CarZ
C1459,Tyre Change,2023-07-29,6448,FastFix
C1460,Oil Change,2023-02-24,19646,CarZ
C1461,Brake Service,2023-08-09,16105,Mechanix
C1462,Brake Service,2022-10-19,2735,CarZ
C1463,Full Service,2020-07-20,14857,FastFix
C1464,Battery Replacement,2020-07-28,17400,CarZ
C1465,Brake Service,2020-02-21,19430,Mechanix
C1466,Tyre Change,2020-01-10,5466,FastFix
C1467,Engine Repair,2022-09-08,19269,Mechanix
C1468,Engine Repair,2022-02-08,6119,FastFix
C1469,Battery Replacement,2023-03-03,13097,Speed Garage
C1470,Engine Repair,2020-09-12,19258,AutoCare
C1471,Battery Replacement,2022-10-13,11467,CarZ
C1472,Tyre Change,2020-04-19,3570,FastFix
C1473,Battery Replacement,2021-07-23,13832,CarZ
C1474,Tyre Change,2021-12-13,15665,Pitstop
C1475,Brake Service,2023-11-15,7336,CarZ
C1476,Brake Service,2023-04-08,12998,Mechanix
C1477,Engine Repair,2022-05-26,5954,FastFix
C1478,Full Service,2021-04-21,10952,FastFix
C1479,Tyre Change,2021-11-03,3293,Pitstop
C1480,Tyre Change,2022-01-13,13589,FastFix
C1481,Battery Replacement,2021-04-25,19183,CarZ
C1482,Tyre Change,2021-04-05,13503,FastFix
C1483,Battery Replacement,2023-06-21,14926,CarZ
C1484,Engine Repair,2021-12-02,18779,Speed Garage
C1485,Tyre Change,2023-12-14,10031,FastFix
C1486,Full Service,2023-05-02,2247,AutoCare
C1487,Brake Service,2022-08-30,10268,FastFix
C1488,Tyre Change,2022-11-05,4772,Mechanix
C1489,Full Service,2023-12-15,6600,Speed Garage
C1490,Brake Service,2022-08-12,9010,Pitstop
C1491,Oil Change,2023-03-28,19102,Mechanix
C1492,Oil Change,2023-06-02,8108,AutoCare
C1493,Full Service,2023-09-25,5032,Pitstop
C1494,Brake Service,2020-12-08,17937,Pitstop
C1495,Tyre Change,2022-06-25,6044,AutoCare
C1496,Engine Repair,2020-01-30,8249,FastFix
C1497,Oil Change,2021-05-15,6557,Mechanix
C1498,Full Service,2020-05-02,2472,Mechanix
C1499,Brake Service,2022-05-13,2964,CarZ
C1500,Tyre Change,2021-06-17,15718,Mechanix
C1501,Engine Repair,2021-01-09,7678,FastFix
C1502,Engine Repair,2021-04-27,7175,Pitstop
C1503,Brake Service,2023-10-20,5438,Mechanix
C1504,Battery Replacement,2022-12-22,11174,CarZ
C1505,Full Service,2021-12-22,10824,Pitstop
C1506,Engine Repair,2020-12-20,18272,Speed Garage
C1507,Oil Change,2021-03-14,9248,FastFix
C1508,Brake Service,2021-06-17,17137,Pitstop
C1509,Full Service,2020-09-01,18903,Pitstop
C1510,Brake Service,2022-06-17,5250,AutoCare
C1511,Full Service,2021-04-18,8525,AutoCare
C1512,Tyre Change,2023-03-03,9565,CarZ
C1513,Oil Change,2022-07-16,17615,Mechanix
C1514,Brake Service,2020-05-03,8579,AutoCare
C1515,Battery Replacement,2022-10-23,15607,Speed Garage
C1516,Tyre Change,2021-07-18,6649,Mechanix
C1517,Engine Repair,2022-10-05,8634,Pitstop
C1518,Oil Change,2020-06-18,10515,Mechanix
C1519,Brake Service,2022-03-14,8824,AutoCare
C1520,Battery Replacement,2022-09-18,3452,Pitstop
C1521,Full Service,2021-10-08,12155,Speed Garage
C1522,Battery Replacement,2022-09-17,9062,FastFix
C1523,Full Service,2022-06-22,9624,CarZ
C1524,Battery Replacement,2021-11-30,12330,Speed Garage
C1525,Engine Repair,2020-12-10,11175,AutoCare
C1526,Battery Replacement,2022-12-07,11897,Pitstop
C1527,Oil Change,2023-09-25,18044,Mechanix
C1528,Brake Service,2023-07-02,12891,AutoCare
C1529,Tyre Change,2021-10-30,12282,FastFix
C1530,Oil Change,2020-06-24,8621,AutoCare
