Car_ID,Sale_Price_Lakh,Sale_Date,Buyer_Name
C1107,6.42,2023-05-01,Buyer_107
C1108,4.42,2022-10-30,Buyer_108
C1109,19.6,2022-07-25,Buyer_109
C1110,37.45,2022-08-05,Buyer_110
C1111,11.71,2022-02-24,Buyer_111
C1112,49.72,2022-03-26,Buyer_112
C1113,16.51,2023-04-30,Buyer_113
C1114,6.69,2022-09-05,Buyer_114
C1115,41.26,2023-11-16,Buyer_115
C1116,47.58,2022-08-16,Buyer_116
C1117,29.96,2022-05-23,Buyer_117
C1118,40.93,2023-02-16,Buyer_118
C1119,35.82,2022-01-10,Buyer_119
C1120,7.45,2022-07-03,Buyer_120
C1121,9.17,2023-03-24,Buyer_121
C1122,18.66,2022-11-07,Buyer_122
C1123,6.18,2023-12-23,Buyer_123
C1124,4.52,2022-10-22,Buyer_124
C1125,30.86,2023-02-20,Buyer_125
C1126,22.07,2023-01-18,Buyer_126
C1127,27.62,2023-11-05,Buyer_127
C1128,37.33,2023-08-06,Buyer_128
C1129,41.82,2023-05-16,Buyer_129
C1130,30.51,2022-10-23,Buyer_130
C1131,27.84,2023-09-14,Buyer_131
C1132,5.4,2022-01-05,Buyer_132
C1133,46.57,2022-05-24,Buyer_133
C1134,12.6,2022-01-13,Buyer_134
C1135,33.93,2022-12-24,Buyer_135
C1136,44.19,2023-12-18,Buyer_136
C1137,3.71,2022-05-10,Buyer_137
C1138,18.53,2023-05-15,Buyer_138
C1139,6.99,2023-07-11,Buyer_139
C1140,10.99,2022-11-05,Buyer_140
C1141,31.07,2023-01-06,Buyer_141
C1142,15.77,2023-12-20,Buyer_142
C1143,13.75,2022-02-25,Buyer_143
C1144,39.5,2022-09-12,Buyer_144
C1145,25.78,2022-05-23,Buyer_145
C1146,39.96,2022-11-25,Buyer_146
C1147,30.27,2022-08-24,Buyer_147
C1148,44.19,2022-01-01,Buyer_148
C1149,17.92,2023-01-05,Buyer_149
C1150,30.44,2022-04-01,Buyer_150
C1151,46.26,2022-01-24,Buyer_151
C1152,43.41,2022-06-16,Buyer_152
C1153,41.64,2022-07-29,Buyer_153
C1154,15.64,2023-07-21,Buyer_154
C1155,36.79,2023-12-05,Buyer_155
C1156,38.42,2023-05-17,Buyer_156
C1157,21.45,2023-11-09,Buyer_157
C1158,21.56,2023-08-30,Buyer_158
C1159,25.15,2023-10-25,Buyer_159
C1160,47.1,2022-08-12,Buyer_160
C1161,26.44,2022-06-16,Buyer_161
C1162,43.48,2023-02-02,Buyer_162
C1163,18.18,2023-05-11,Buyer_163
C1164,45.61,2022-02-03,Buyer_164
C1165,45.92,2022-09-08,Buyer_165
C1166,36.5,2022-05-24,Buyer_166
C1167,25.25,2022-07-23,Buyer_167
C1168,21.23,2022-04-11,Buyer_168
C1169,30.41,2022-12-21,Buyer_169
C1170,41.08,2022-01-21,Buyer_170
C1171,32.64,2023-02-11,Buyer_171
C1172,13.69,2023-10-29,Buyer_172
C1173,23.69,2023-03-08,Buyer_173
C1174,25.56,2023-01-18,Buyer_174
C1175,28.62,2022-12-07,Buyer_175
C1176,12.66,2022-10-31,Buyer_176
C1177,21.59,2022-12-19,Buyer_177
C1178,29.33,2023-05-15,Buyer_178
C1179,27.05,2023-04-13,Buyer_179
C1180,41.28,2022-07-07,Buyer_180
C1181,38.91,2023-06-04,Buyer_181
C1182,36.58,2023-10-03,Buyer_182
C1183,28.57,2023-09-27,Buyer_183
C1184,38.94,2022-04-24,Buyer_184
C1185,43.91,2023-02-11,Buyer_185
C1186,25.56,2023-10-27,Buyer_186
C1187,40.79,2023-12-01,Buyer_187
C1188,45.01,2023-12-03,Buyer_188
C1189,39.85,2023-06-06,Buyer_189
C1190,30.36,2023-10-13,Buyer_190
C1191,16.06,2022-12-16,Buyer_191
C1192,3.6,2023-11-17,Buyer_192
C1193,17.89,2023-07-19,Buyer_193
C1194,36.53,2022-09-18,Buyer_194
C1195,21.65,2023-02-05,Buyer_195
C1196,15.04,2022-12-03,Buyer_196
C1197,38.33,2022-02-17,Buyer_197
C1198,22.38,2023-11-21,Buyer_198
C1199,22.69,2022-07-12,Buyer_199
C1200,36.38,2022-12-29,Buyer_200
C1201,18.21,2022-03-15,Buyer_201
C1202,12.05,2022-09-02,Buyer_202
C1203,17.66,2023-10-09,Buyer_203
C1204,22.92,2022-08-02,Buyer_204
C1205,45.5,2023-09-03,Buyer_205
C1206,29.35,2022-01-11,Buyer_206
C1207,5.7,2022-05-18,Buyer_207
C1208,5.86,2022-09-03,Buyer_208
C1209,6.31,2023-09-22,Buyer_209
C1210,39.16,2023-02-10,Buyer_210
C1211,26.45,2023-10-13,Buyer_211
C1212,38.19,2022-11-13,Buyer_212
C1213,35.07,2022-12-24,Buyer_213
C1214,27.01,2022-05-01,Buyer_214
C1215,3.9,2022-10-25,Buyer_215
C1216,39.28,2023-09-21,Buyer_216
C1217,21.72,2022-09-01,Buyer_217
C1218,29.68,2022-12-08,Buyer_218
C1219,41.2,2022-06-16,Buyer_219
C1220,18.5,2023-12-07,Buyer_220
C1221,11.19,2022-05-07,Buyer_221
C1222,29.96,2023-09-06,Buyer_222
C1223,40.83,2023-06-18,Buyer_223
C1224,22.05,2023-08-15,Buyer_224
C1225,21.34,2023-10-02,Buyer_225
C1226,23.15,2022-08-17,Buyer_226
C1227,17.22,2023-09-23,Buyer_227
C1228,16.08,2023-03-08,Buyer_228
C1229,36.93,2023-09-08,Buyer_229
C1230,43.47,2022-12-17,Buyer_230
C1231,49.71,2023-01-30,Buyer_231
C1232,41.9,2022-01-12,Buyer_232
C1233,46.93,2022-11-12,Buyer_233
C1234,34.86,2022-09-16,Buyer_234
C1235,40.66,2022-07-16,Buyer_235
C1236,2.59,2023-04-02,Buyer_236
C1237,20.64,2022-08-07,Buyer_237
C1238,39.94,2023-06-14,Buyer_238
C1239,41.13,2022-04-18,Buyer_239
C1240,25.17,2023-02-06,Buyer_240
C1241,28.46,2022-10-27,Buyer_241
C1242,16.21,2023-02-17,Buyer_242
C1243,2.55,2023-12-09,Buyer_243
C1244,4.61,2023-12-12,Buyer_244
C1245,18.85,2023-06-05,Buyer_245
C1246,22.45,2023-05-13,Buyer_246
C1247,46,2023-03-01,Buyer_247
C1248,42.59,2023-05-21,Buyer_248
C1249,34.65,2022-02-24,Buyer_249
C1250,5.87,2023-01-01,Buyer_250
C1251,39.74,2022-12-26,Buyer_251
C1252,13.11,2022-03-31,Buyer_252
C1253,16.59,2023-08-09,Buyer_253
C1254,33.54,2023-01-11,Buyer_254
C1255,5.56,2022-11-01,Buyer_255
C1256,44.32,2023-06-18,Buyer_256
C1257,25.64,2022-05-30,Buyer_257
C1258,2.4,2022-11-15,Buyer_258
C1259,35.76,2022-10-26,Buyer_259
C1260,10.85,2022-08-06,Buyer_260
C1261,18.23,2022-09-06,Buyer_261
C1262,30.52,2024-01-01,Buyer_262
C1263,12.87,2023-01-09,Buyer_263
C1264,27.5,2022-10-27,Buyer_264
C1265,2.53,2022-02-09,Buyer_265
C1266,34.67,2023-04-29,Buyer_266
C1267,42.1,2023-01-21,Buyer_267
C1268,11.93,2023-12-11,Buyer_268
C1269,3.76,2023-04-07,Buyer_269
C1270,33.21,2023-12-30,Buyer_270
C1271,42.45,2023-08-20,Buyer_271
C1272,13.96,2023-01-12,Buyer_272
C1273,14.42,2023-03-01,Buyer_273
C1274,29.37,2023-11-09,Buyer_274
C1275,31.84,2023-05-05,Buyer_275
C1276,22.15,2022-01-14,Buyer_276
C1277,33.35,2022-04-14,Buyer_277
C1278,8.02,2023-09-21,Buyer_278
C1279,23.38,2023-11-23,Buyer_279
C1280,22.42,2022-07-19,Buyer_280
C1281,38.9,2023-04-30,Buyer_281
C1282,4.08,2023-12-07,Buyer_282
C1283,9.48,2023-05-21,Buyer_283
C1284,29.79,2022-07-09,Buyer_284
C1285,4.1,2022-05-03,Buyer_285
C1286,16.27,2023-06-07,Buyer_286
C1287,23.17,2023-07-27,Buyer_287
C1288,44.1,2022-10-19,Buyer_288
C1289,41.25,2023-04-06,Buyer_289
C1290,18.02,2022-01-18,Buyer_290
C1291,6.48,2023-08-09,Buyer_291
C1292,9.21,2022-10-02,Buyer_292
C1293,6.1,2023-04-25,Buyer_293
C1294,15.31,2022-04-21,Buyer_294
C1295,14.22,2023-10-29,Buyer_295
C1296,10.26,2022-05-10,Buyer_296
C1297,21.81,2023-12-04,Buyer_297
C1298,13.96,2023-10-26,Buyer_298
C1299,2.76,2022-02-26,Buyer_299
C1300,11.05,2023-11-27,Buyer_300
C1301,32.42,2023-10-24,Buyer_301
C1302,27.43,2022-05-10,Buyer_302
C1303,46.37,2022-08-22,Buyer_303
C1304,7.17,2023-08-03,Buyer_304
C1305,42.73,2023-05-31,Buyer_305
C1306,37.23,2022-07-07,Buyer_306
C1307,42.1,2023-08-13,Buyer_307
C1308,17.17,2023-10-14,Buyer_308
C1309,14.33,2022-10-05,Buyer_309
C1310,16.05,2022-08-24,Buyer_310
C1311,47.61,2022-06-27,Buyer_311
C1312,41.52,2022-11-05,Buyer_312
C1313,5.4,2022-12-31,Buyer_313
C1314,34.46,2022-03-27,Buyer_314
C1315,27,2023-02-17,Buyer_315
C1316,6.94,2022-08-14,Buyer_316
C1317,27.34,2022-03-22,Buyer_317
C1318,7.67,2023-06-24,Buyer_318
C1319,42.33,2023-06-30,Buyer_319
C1320,37.63,2022-06-16,Buyer_320
C1321,27.23,2023-11-12,Buyer_321
C1322,27.25,2023-01-25,Buyer_322
C1323,28.92,2022-08-20,Buyer_323
C1324,41.44,2022-06-04,Buyer_324
C1325,12.08,2022-04-18,Buyer_325
C1326,39.23,2023-07-25,Buyer_326
C1327,33.98,2022-05-18,Buyer_327
C1328,6.97,2023-10-12,Buyer_328
C1329,42.53,2023-06-28,Buyer_329
C1330,16.59,2022-12-10,Buyer_330
C1331,36.41,2022-08-08,Buyer_331
C1332,21.81,2023-07-25,Buyer_332
C1333,20.77,2023-07-12,Buyer_333
C1334,17.56,2023-10-30,Buyer_334
C1335,6.8,2022-08-22,Buyer_335
C1336,41.21,2023-04-14,Buyer_336
C1337,30.07,2022-01-15,Buyer_337
C1338,47.69,2022-11-12,Buyer_338
C1339,3.98,2023-03-07,Buyer_339
C1340,19.92,2023-02-19,Buyer_340
C1341,28.76,2023-12-20,Buyer_341
C1342,4.68,2022-08-19,Buyer_342
C1343,12.86,2022-12-14,Buyer_343
C1344,32.54,2023-02-03,Buyer_344
C1345,12.77,2022-12-19,Buyer_345
C1346,47.7,2022-04-06,Buyer_346
C1347,2.6,2023-02-28,Buyer_347
C1348,47.17,2022-12-30,Buyer_348
C1349,7.49,2022-01-20,Buyer_349
C1350,44.36,2022-02-27,Buyer_350
C1351,13.87,2023-06-25,Buyer_351
C1352,19.56,2023-12-07,Buyer_352
C1353,22.55,2022-10-18,Buyer_353
C1354,42.26,2022-01-12,Buyer_354
C1355,4.88,2022-06-16,Buyer_355
C1356,22.39,2022-05-06,Buyer_356
C1357,5.12,2022-09-24,Buyer_357
C1358,35.29,2023-05-07,Buyer_358
C1359,21.35,2022-09-05,Buyer_359
C1360,28.19,2022-01-19,Buyer_360
C1361,32.49,2022-12-12,Buyer_361
C1362,12.87,2023-03-09,Buyer_362
C1363,30.2,2023-04-06,Buyer_363
C1364,17.9,2023-03-20,Buyer_364
C1365,16.18,2022-06-22,Buyer_365
C1366,23.79,2023-08-07,Buyer_366
C1367,29.21,2023-04-06,Buyer_367
C1368,47.08,2023-09-17,Buyer_368
C1369,31.52,2022-03-14,Buyer_369
C1370,18.1,2023-06-14,Buyer_370
C1371,42.11,2022-07-18,Buyer_371
C1372,35.16,2022-04-01,Buyer_372
C1373,22.04,2023-04-12,Buyer_373
C1374,47.51,2022-11-29,Buyer_374
C1375,47.87,2022-04-17,Buyer_375
C1376,27.93,2023-01-02,Buyer_376
C1377,2.4,2023-04-20,Buyer_377
C1378,31.5,2023-04-14,Buyer_378
C1379,47.65,2023-01-08,Buyer_379
C1380,39.8,2022-06-24,Buyer_380
C1381,21.94,2022-04-11,Buyer_381
C1382,31.55,2023-10-28,Buyer_382
C1383,41.32,2022-02-07,Buyer_383
C1384,35.24,2022-03-20,Buyer_384
C1385,17.8,2022-11-18,Buyer_385
C1386,19.28,2023-04-12,Buyer_386
C1387,30.98,2023-05-01,Buyer_387
C1388,25.73,2022-01-22,Buyer_388
C1389,45.56,2022-06-16,Buyer_389
C1390,33.89,2023-11-01,Buyer_390
C1391,26.52,2023-08-14,Buyer_391
C1392,15.01,2023-08-05,Buyer_392
C1393,21.98,2022-03-22,Buyer_393
C1394,37.85,2022-01-12,Buyer_394
C1395,7.78,2022-12-22,Buyer_395
C1396,41.72,2022-02-09,Buyer_396
C1397,14.7,2022-02-25,Buyer_397
C1398,37.94,2022-04-28,Buyer_398
C1399,31.92,2022-09-20,Buyer_399
C1400,4.75,2022-02-08,Buyer_400
C1401,48.51,2023-01-13,Buyer_401
C1402,14.03,2023-08-06,Buyer_402
C1403,13.6,2022-06-10,Buyer_403
C1404,46.54,2022-12-17,Buyer_404
C1405,16.08,2023-03-20,Buyer_405
C1406,35.32,2023-03-26,Buyer_406
C1407,10.63,2022-06-29,Buyer_407
C1408,23.92,2023-10-05,Buyer_408
C1409,10.81,2022-09-15,Buyer_409
C1410,9.05,2023-05-13,Buyer_410
C1411,38.6,2022-12-18,Buyer_411
C1412,14.52,2023-10-18,Buyer_412
C1413,12.22,2022-06-16,Buyer_413
C1414,31.96,2022-06-21,Buyer_414
C1415,46.02,2022-04-21,Buyer_415
C1416,38.96,2023-11-15,Buyer_416
C1417,9.76,2022-06-13,Buyer_417
C1418,7.84,2022-04-01,Buyer_418
C1419,47.59,2023-10-07,Buyer_419
C1420,26.52,2023-07-20,Buyer_420
C1421,14.6,2023-05-26,Buyer_421
C1422,38.76,2023-10-12,Buyer_422
C1423,11.9,2023-07-22,Buyer_423
C1424,6.83,2022-10-13,Buyer_424
C1425,35.15,2022-03-21,Buyer_425
C1426,18.04,2023-01-22,Buyer_426
C1427,42.06,2023-01-30,Buyer_427
C1428,44.04,2023-10-07,Buyer_428
C1429,46.7,2022-09-30,Buyer_429
C1430,46.69,2022-01-31,Buyer_430
C1431,29.83,2023-10-16,Buyer_431
C1432,30.12,2023-04-28,Buyer_432
C1433,4.62,2022-04-01,Buyer_433
C1434,2.19,2023-01-18,Buyer_434
C1435,47.85,2023-06-14,Buyer_435
C1436,24.71,2022-10-07,Buyer_436
C1437,18.13,2022-08-26,Buyer_437
C1438,43.71,2022-11-07,Buyer_438
C1439,25.42,2023-01-09,Buyer_439
C1440,27.17,2023-06-18,Buyer_440
C1441,19.01,2022-05-29,Buyer_441
C1442,32.48,2023-04-25,Buyer_442
C1443,33.6,2022-10-26,Buyer_443
C1444,35.57,2023-04-25,Buyer_444
C1445,5.77,2022-07-18,Buyer_445
C1446,21.74,2022-08-20,Buyer_446
C1447,17.5,2022-09-29,Buyer_447
C1448,26.06,2022-11-12,Buyer_448
C1449,42.14,2023-04-06,Buyer_449
C1450,28.42,2023-08-16,Buyer_450
C1451,13.85,2023-01-30,Buyer_451
C1452,43.96,2023-12-05,Buyer_452
C1453,42.99,2023-12-27,Buyer_453
C1454,30.3,2022-09-03,Buyer_454
C1455,23.92,2022-03-05,Buyer_455
C1456,42.13,2023-11-02,Buyer_456
C1457,16.65,2022-09-15,Buyer_457
C1458,13.42,2023-06-22,Buyer_458
C1459,49.13,2022-12-04,Buyer_459
C1460,34.69,2022-03-28,Buyer_460
C1461,44.34,2022-03-16,Buyer_461
C1462,6.32,2022-04-27,Buyer_462
C1463,15.87,2023-07-17,Buyer_463
C1464,33.67,2023-04-06,Buyer_464
C1465,6.4,2022-05-14,Buyer_465
C1466,39.71,2023-01-05,Buyer_466
C1467,10.27,2022-03-31,Buyer_467
C1468,37.72,2022-03-13,Buyer_468
C1469,15.56,2022-04-20,Buyer_469
C1470,12.32,2023-10-10,Buyer_470
C1471,4.95,2022-10-04,Buyer_471
C1472,10.34,2023-10-05,Buyer_472
C1473,15.31,2023-02-08,Buyer_473
C1474,36.1,2022-05-12,Buyer_474
C1475,14.36,2023-10-09,Buyer_475
C1476,20.22,2023-06-30,Buyer_476
C1477,2.19,2023-10-08,Buyer_477
C1478,26.05,2022-05-13,Buyer_478
C1479,23.83,2023-02-28,Buyer_479
C1480,10.39,2023-01-07,Buyer_480
C1481,42.66,2023-08-04,Buyer_481
C1482,16.53,2022-03-21,Buyer_482
C1483,26.23,2022-11-27,Buyer_483
C1484,22.24,2022-06-07,Buyer_484
C1485,46.69,2023-10-30,Buyer_485
C1486,40.81,2023-11-19,Buyer_486
C1487,27.38,2022-04-28,Buyer_487
C1488,43.9,2023-07-30,Buyer_488
C1489,38.82,2023-05-26,Buyer_489
C1490,23.11,2023-10-15,Buyer_490
C1491,49.5,2023-07-29,Buyer_491
C1492,8.33,2023-05-09,Buyer_492
C1493,8.03,2023-02-25,Buyer_493
C1494,15.13,2022-10-19,Buyer_494
C1495,42.08,2023-08-11,Buyer_495
C1496,37.63,2023-02-15,Buyer_496
C1497,27.11,2023-03-19,Buyer_497
C1498,9.11,2023-12-05,Buyer_498
C1499,34.59,2022-07-29,Buyer_499
C1500,30,2023-01-04,Buyer_500
C1501,13.55,2022-09-15,Buyer_501
C1502,13.83,2023-02-07,Buyer_502
C1503,2.97,2023-03-24,Buyer_503
C1504,38.11,2023-07-13,Buyer_504
C1505,20.41,2023-02-27,Buyer_505
C1506,41.97,2022-06-26,Buyer_506
C1507,11.92,2022-05-12,Buyer_507
C1508,43.68,2023-07-21,Buyer_508
C1509,30.44,2023-11-28,Buyer_509
C1510,3.03,2022-05-01,Buyer_510
C1511,29.89,2023-12-29,Buyer_511
C1512,14.15,2022-10-03,Buyer_512
C1513,7.94,2023-12-30,Buyer_513
C1514,13.5,2022-04-29,Buyer_514
C1515,25.6,2023-07-12,Buyer_515
C1516,14.21,2022-04-05,Buyer_516
C1517,14.64,2022-10-26,Buyer_517
C1518,32.57,2022-09-09,Buyer_518
C1519,30.21,2022-06-30,Buyer_519
C1520,35.98,2022-05-07,Buyer_520
C1521,39.44,2023-08-25,Buyer_521
C1522,5.97,2023-01-01,Buyer_522
C1523,40.46,2022-09-01,Buyer_523
C1524,11.98,2022-02-09,Buyer_524
C1525,22.72,2022-03-30,Buyer_525
C1526,37.02,2022-10-22,Buyer_526
C1527,42.34,2023-08-20,Buyer_527
C1528,16.78,2022-01-29,Buyer_528
C1529,36.68,2023-11-28,Buyer_529
C1530,9.69,2023-12-04,Buyer_530
C1531,13.04,2023-01-30,Buyer_531
C1532,4.84,2023-11-02,Buyer_532
C1533,4.91,2022-11-28,Buyer_533
C1534,4.06,2022-07-15,Buyer_534
C1535,41.91,2022-11-03,Buyer_535
C1536,39.6,2022-12-15,Buyer_536
C1537,15.71,2023-10-28,Buyer_537
C1538,13.81,2023-09-01,Buyer_538
C1539,22.48,2022-09-03,Buyer_539
C1540,34.72,2023-01-31,Buyer_540
C1541,35.06,2022-11-19,Buyer_541
C1542,3.93,2022-08-04,Buyer_542
C1543,18.28,2023-03-10,Buyer_543
C1544,45.08,2022-04-19,Buyer_544
C1545,34.9,2022-02-02,Buyer_545
C1546,7.62,2023-07-23,Buyer_546
C1547,29.32,2022-10-16,Buyer_547
C1548,36.53,2023-02-03,Buyer_548
C1549,13.99,2023-08-20,Buyer_549
C1550,19.76,2022-11-13,Buyer_550
C1551,43.38,2023-07-02,Buyer_551
C1552,47.38,2023-10-05,Buyer_552
C1553,20.3,2022-10-27,Buyer_553
C1554,34.97,2023-01-25,Buyer_554
C1555,13.75,2022-01-18,Buyer_555
C1556,41.41,2022-09-17,Buyer_556
C1557,3.51,2022-01-30,Buyer_557
C1558,20.52,2022-07-03,Buyer_558
C1559,21.35,2022-07-12,Buyer_559
C1560,34.04,2022-04-18,Buyer_560
C1561,35.43,2023-02-11,Buyer_561
C1562,18.7,2023-07-31,Buyer_562
C1563,9.08,2022-03-09,Buyer_563
C1564,4.16,2023-06-23,Buyer_564
C1565,27.05,2022-05-18,Buyer_565
C1566,33.41,2022-03-05,Buyer_566
C1567,25.16,2022-05-30,Buyer_567
C1568,26.38,2022-07-14,Buyer_568
C1569,27.25,2022-07-17,Buyer_569
C1570,11.39,2022-07-21,Buyer_570
C1571,36.54,2022-08-18,Buyer_571
C1572,10.8,2022-12-31,Buyer_572
C1573,4.17,2023-02-02,Buyer_573
C1574,32.26,2023-07-22,Buyer_574
C1575,32.41,2023-10-29,Buyer_575
C1576,15.44,2022-02-21,Buyer_576
C1577,29.12,2022-06-03,Buyer_577
C1578,35.74,2023-12-21,Buyer_578
C1579,47.83,2022-02-16,Buyer_579
C1580,26.55,2023-07-07,Buyer_580
C1581,43.64,2023-09-16,Buyer_581
C1582,46.97,2023-07-13,Buyer_582
C1583,12.93,2022-08-03,Buyer_583
C1584,13.34,2022-07-25,Buyer_584
C1585,22.94,2022-07-31,Buyer_585
C1586,28.96,2022-10-02,Buyer_586
C1587,43.56,2023-04-18,Buyer_587
C1588,32.2,2022-11-28,Buyer_588
C1589,49.89,2022-06-30,Buyer_589
C1590,34.78,2023-06-25,Buyer_590
C1591,6.45,2022-09-10,Buyer_591
C1592,43.14,2023-06-22,Buyer_592
C1593,6.4,2023-05-24,Buyer_593
C1594,22.88,2022-07-13,Buyer_594
C1595,34.01,2023-09-10,Buyer_595
C1596,5.71,2022-06-15,Buyer_596
C1597,37.7,2022-12-18,Buyer_597
C1598,12.99,2023-03-29,Buyer_598
C1599,45.29,2023-11-22,Buyer_599
C1600,45.47,2022-08-31,Buyer_600
C1601,48.86,2022-09-27,Buyer_601
C1602,42.64,2023-01-18,Buyer_602
C1603,35.19,2023-02-03,Buyer_603
C1604,29.24,2023-12-27,Buyer_604
C1605,15.72,2023-12-23,Buyer_605
C1606,25.29,2023-08-15,Buyer_606
C1607,11.08,2023-08-10,Buyer_607
C1608,27.71,2023-03-14,Buyer_608
C1609,36.4,2022-05-22,Buyer_609
C1610,5.99,2022-01-23,Buyer_610
C1611,20.66,2023-07-31,Buyer_611
C1612,26.9,2022-07-03,Buyer_612
C1613,43.25,2023-04-14,Buyer_613
C1614,11.77,2022-04-11,Buyer_614
C1615,28.56,2023-05-18,Buyer_615
C1616,33.6,2023-06-06,Buyer_616
C1617,32.29,2023-10-16,Buyer_617
C1618,19.97,2023-03-03,Buyer_618
C1619,28.85,2023-03-18,Buyer_619
C1620,17.39,2023-01-27,Buyer_620
C1621,35.24,2022-07-01,Buyer_621
C1622,4.31,2023-04-07,Buyer_622
C1623,25.56,2023-08-13,Buyer_623
C1624,13.23,2023-04-09,Buyer_624
C1625,35.99,2023-08-29,Buyer_625
C1626,37.22,2022-07-30,Buyer_626
C1627,18.18,2023-02-07,Buyer_627
C1628,30.46,2023-08-17,Buyer_628
C1629,7.89,2022-09-18,Buyer_629
C1630,13.77,2023-08-05,Buyer_630
C1631,27.97,2022-03-13,Buyer_631
C1632,47.42,2022-01-29,Buyer_632
