Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Color,Owner_Type,Mileage_kmpl,Price_Lakh
C1031,Maruti,Duster,2010,Hybrid,Automatic,Grey,Fourth,12.34,33.71
C1032,Toyota,Duster,2015,Diesel,Automatic,Green,Third,24.49,33.91
C1033,Ford,Ecosport,2005,Petrol,Automatic,Grey,Second,12.57,43.09
C1034,Honda,Duster,2007,Petrol,Automatic,Blue,Second,23.15,44.7
C1035,Volkswagen,Duster,2023,Petrol,Manual,White,Second,11.94,12.79
C1036,Volkswagen,Ecosport,2017,CNG,Manual,Red,Third,14.18,10.16
C1037,Volkswagen,Swift,2015,Hybrid,Automatic,Black,Second,14.04,6.62
C1038,Mahindra,Seltos,2012,Petrol,Automatic,Grey,Fourth,17.06,12.83
C1039,Renault,Ecosport,2014,Electric,Automatic,Green,First,19.77,31.81
C1040,Tata,Swift,2015,Hybrid,Automatic,Grey,Fourth,10.82,33
C1041,Kia,Polo,2011,Petrol,Manual,Blue,Third,13,49.25
C1042,Honda,Creta,2016,CNG,Manual,Yellow,First,23.85,43.65
C1043,Toyota,Innova,2013,Hybrid,Manual,Blue,Second,14.07,32.11
C1044,Renault,Ecosport,2019,Diesel,Automatic,Red,First,19.65,38.14
C1045,Hyundai,Seltos,2017,Petrol,Automatic,White,Fourth,12.02,22.59
C1046,Kia,Swift,2016,Hybrid,Automatic,Blue,Third,16.29,46.84
C1047,Honda,Creta,2014,Electric,Automatic,White,Second,20.52,21.01
C1048,Hyundai,Innova,2012,Petrol,Automatic,Blue,Second,10.32,44.14
C1049,Honda,Polo,2019,Diesel,Manual,Black,First,11.82,19.08
C1050,Maruti,City,2006,Hybrid,Automatic,Green,Second,22.81,43.1
C1051,Volkswagen,XUV500,2023,CNG,Manual,Red,Second,15.07,27.15
C1052,Ford,XUV500,2012,Hybrid,Manual,Black,Second,11.69,11.93
C1053,Toyota,Duster,2011,CNG,Automatic,Black,Fourth,23.56,29.25
C1054,Ford,XUV500,2024,Diesel,Manual,Blue,Third,12.89,22.69
C1055,Honda,Ecosport,2006,Electric,Manual,Silver,Second,10.11,11.79
C1056,Mahindra,Nexon,2011,Petrol,Manual,Grey,Third,22.79,15.82
C1057,Hyundai,Seltos,2024,Electric,Manual,Red,Fourth,14.33,19.34
C1058,Maruti,City,2020,Electric,Automatic,Yellow,First,13.46,38.24
C1059,Honda,Nexon,2019,Diesel,Automatic,Red,First,11.88,11.38
C1060,Renault,City,2021,CNG,Manual,Yellow,Fourth,24.44,43.19
C1061,Maruti,City,2020,Electric,Automatic,Silver,Third,22.61,8.03
C1062,Toyota,Seltos,2011,Electric,Automatic,Green,First,12.24,12.26
C1063,Ford,Swift,2021,Electric,Manual,Blue,First,11.49,16.25
C1064,Ford,Seltos,2024,Electric,Manual,Red,Third,13.37,16.44
C1065,Renault,Seltos,2007,Hybrid,Manual,Black,Third,11.4,21.43
C1066,Renault,Swift,2006,Petrol,Manual,Silver,Fourth,10.66,8.23
C1067,Ford,Ecosport,2014,Electric,Automatic,Red,Third,19.03,29.25
C1068,Renault,Ecosport,2005,Electric,Automatic,White,Third,10.62,44.4
C1069,Mahindra,XUV500,2017,Diesel,Automatic,Grey,Fourth,19.93,31.91
C1070,Renault,City,2007,Electric,Manual,Green,Fourth,24.52,14.87
C1071,Volkswagen,Ecosport,2012,Hybrid,Automatic,Green,Third,23.59,41.21
C1072,Tata,Innova,2021,Diesel,Manual,Blue,Third,21.17,45.02
C1073,Volkswagen,Ecosport,2007,Electric,Automatic,Silver,Second,23.62,34.7
C1074,Renault,Nexon,2014,Diesel,Automatic,Blue,Fourth,11.11,43.96
C1075,Renault,Nexon,2021,Electric,Automatic,White,Second,11.91,7.8
C1076,Renault,Duster,2022,Electric,Manual,Black,Second,17.67,13.8
C1077,Kia,Nexon,2020,Electric,Manual,Grey,First,18.55,42.72
C1078,Hyundai,Duster,2011,CNG,Automatic,Yellow,Fourth,16.12,28.8
C1079,Maruti,Ecosport,2024,Electric,Manual,Green,Fourth,18.9,24.66
C1080,Toyota,Creta,2012,CNG,Automatic,Black,Second,15.15,14.56
C1081,Toyota,Ecosport,2015,Electric,Automatic,Red,Second,21.42,47.9
C1082,Renault,XUV500,2018,Diesel,Manual,White,Fourth,16.69,7.02
C1083,Mahindra,City,2016,Hybrid,Automatic,Grey,Second,12.2,45.7
C1084,Toyota,Ecosport,2013,CNG,Automatic,Blue,Second,18.27,47.51
C1085,Mahindra,XUV500,2015,Petrol,Manual,Black,Second,23.91,36.26
C1086,Toyota,Seltos,2021,Petrol,Manual,White,First,23.53,10.43
C1087,Volkswagen,Seltos,2018,Petrol,Manual,Red,First,21.65,46.47
C1088,Tata,Duster,2022,CNG,Manual,Black,Fourth,10.22,30.81
C1089,Kia,City,2013,Hybrid,Automatic,Black,Second,15.31,8.58
C1090,Renault,XUV500,2015,Diesel,Automatic,Grey,First,11.9,41.46
C1091,Mahindra,Innova,2011,Petrol,Automatic,Green,Third,12.61,12.9
C1092,Maruti,Ecosport,2009,Diesel,Automatic,Blue,Fourth,12.08,49.29
C1093,Ford,City,2017,CNG,Manual,Blue,Third,17.84,23.5
C1094,Maruti,Seltos,2007,Petrol,Automatic,Silver,Second,20.37,40.11
C1095,Tata,Polo,2019,CNG,Manual,Silver,Second,20.35,11.06
C1096,Tata,Creta,2006,CNG,Manual,Red,First,19.15,12.46
C1097,Honda,Seltos,2010,Diesel,Automatic,Green,Fourth,24.42,32.54
C1098,Mahindra,City,2017,Electric,Manual,Grey,Second,10.87,9.07
C1099,Toyota,Swift,2013,Petrol,Manual,Yellow,First,12.9,28.2
C1100,Kia,Polo,2007,CNG,Automatic,White,Third,10.7,33.36
C1101,Renault,Seltos,2006,CNG,Manual,Black,Fourth,17.95,47.15
C1102,Ford,Nexon,2023,Petrol,Manual,White,First,23.71,27.51
C1103,Maruti,Seltos,2009,Electric,Manual,Blue,Third,10.21,24.97
C1104,Mahindra,Swift,2019,Electric,Automatic,Silver,First,23.71,47.32
C1105,Ford,Seltos,2011,CNG,Manual,Grey,Second,14.61,48.09
C1106,Ford,Creta,2011,CNG,Manual,White,Fourth,13.44,32.89
C1107,Mahindra,Ecosport,2019,Hybrid,Manual,Black,Third,13.03,24.87
C1108,Honda,Seltos,2024,Electric,Automatic,White,Second,12.06,37.67
C1109,Mahindra,City,2024,Petrol,Manual,Silver,Third,16.27,40.9
C1110,Renault,Ecosport,2005,Diesel,Manual,Green,Third,21.65,40.01
C1111,Renault,Polo,2022,CNG,Manual,Yellow,Second,22.27,43.1
C1112,Volkswagen,Nexon,2014,Hybrid,Manual,Blue,First,24.79,48.34
C1113,Toyota,Swift,2011,Diesel,Manual,Black,Second,22.25,20.12
C1114,Toyota,Polo,2006,Petrol,Automatic,Green,Second,23.73,11.58
C1115,Honda,Swift,2024,Electric,Manual,White,Third,23.86,34.9
C1116,Mahindra,Ecosport,2009,Electric,Automatic,Grey,Second,17.01,33.57
C1117,Maruti,Duster,2008,Diesel,Manual,Silver,Second,22.48,49.64
C1118,Renault,Swift,2012,Hybrid,Manual,White,Third,18.53,10.29
C1119,Toyota,Duster,2011,CNG,Manual,Red,First,24.36,13.74
C1120,Kia,Swift,2020,Petrol,Manual,Silver,Second,23.26,17.6
C1121,Hyundai,Swift,2017,CNG,Manual,Black,First,14.44,19.55
C1122,Renault,Creta,2011,Hybrid,Automatic,Green,Third,21.76,44.62
C1123,Volkswagen,Swift,2024,Hybrid,Manual,Yellow,Second,12.81,48.45
C1124,Kia,XUV500,2022,Petrol,Manual,White,Third,12.37,8.82
C1125,Honda,Nexon,2005,CNG,Manual,Grey,First,20.02,5.25
C1126,Hyundai,Ecosport,2013,Diesel,Manual,Yellow,Second,19.55,25.75
C1127,Renault,Seltos,2023,Hybrid,Automatic,White,Third,14.16,8.71
C1128,Mahindra,XUV500,2010,CNG,Automatic,Blue,Third,14.24,26.09
C1129,Honda,Ecosport,2017,Hybrid,Automatic,White,Fourth,15.69,29.76
C1130,Toyota,Creta,2023,Petrol,Automatic,Yellow,Second,10.29,43.54
C1131,Maruti,Ecosport,2007,Petrol,Manual,White,Fourth,14.76,27.57
C1132,Renault,Innova,2014,Petrol,Manual,Yellow,Second,21.44,23.58
C1133,Ford,City,2019,Electric,Automatic,Blue,Second,10.71,20.96
C1134,Hyundai,Swift,2011,CNG,Automatic,Blue,Fourth,19.3,36.03
C1135,Maruti,Creta,2008,Electric,Automatic,Yellow,Third,11.29,9.47
C1136,Hyundai,Creta,2009,Diesel,Manual,Grey,Third,11.44,21.88
C1137,Maruti,Swift,2005,Hybrid,Manual,Yellow,First,19.78,29.22
C1138,Mahindra,Innova,2019,Hybrid,Manual,White,Third,10.56,27
C1139,Hyundai,Duster,2024,Diesel,Automatic,Black,First,17.46,38.37
C1140,Honda,Creta,2022,Hybrid,Automatic,Green,Fourth,10.42,31.72
C1141,Toyota,Duster,2014,Petrol,Automatic,Grey,Second,14.45,44.18
C1142,Volkswagen,XUV500,2007,Petrol,Automatic,Silver,Fourth,13.9,38.43
C1143,Hyundai,Duster,2020,CNG,Manual,Black,Third,14.64,9.63
C1144,Mahindra,Polo,2019,Electric,Automatic,Green,Second,19.41,31.21
C1145,Mahindra,Seltos,2015,Diesel,Automatic,Yellow,First,14.94,26.43
C1146,Hyundai,Seltos,2019,CNG,Automatic,White,Second,23.52,4.78
C1147,Maruti,Seltos,2019,Diesel,Automatic,Red,Third,20.37,10.85
C1148,Mahindra,Innova,2006,Electric,Automatic,Silver,Fourth,17.66,25.23
C1149,Kia,City,2008,Diesel,Automatic,White,First,12.6,38.01
C1150,Mahindra,Creta,2014,Hybrid,Manual,Green,First,24.13,18.71
C1151,Kia,Innova,2008,Petrol,Automatic,Grey,Fourth,20.68,5.77
C1152,Tata,Duster,2013,Electric,Manual,Yellow,Third,17.2,40.48
C1153,Maruti,Nexon,2011,Diesel,Manual,Black,Fourth,20.11,49.42
C1154,Volkswagen,Polo,2007,Electric,Manual,Silver,Fourth,20.36,27.5
C1155,Volkswagen,Seltos,2018,Hybrid,Manual,Red,Fourth,10.67,21.96
C1156,Hyundai,Creta,2016,CNG,Manual,Blue,First,22.11,16.76
C1157,Mahindra,Swift,2017,Diesel,Manual,Red,Third,24.64,17.22
C1158,Kia,Seltos,2009,Hybrid,Automatic,Grey,Fourth,20.08,20.9
C1159,Mahindra,Nexon,2014,Petrol,Manual,White,Fourth,14.17,19.8
C1160,Kia,XUV500,2015,Diesel,Automatic,Red,Fourth,23.51,47.04
C1161,Maruti,Duster,2009,CNG,Automatic,Green,Third,24.11,25.07
C1162,Maruti,Creta,2021,Diesel,Manual,Grey,Third,23.71,23.51
C1163,Honda,Duster,2024,Electric,Manual,Yellow,Third,20.54,29.2
C1164,Tata,Duster,2016,Hybrid,Manual,Blue,Third,15.19,13.63
C1165,Honda,XUV500,2019,CNG,Automatic,Grey,First,10.23,41.37
C1166,Renault,Swift,2024,Hybrid,Manual,White,Fourth,17.74,15.42
C1167,Honda,XUV500,2012,CNG,Automatic,White,Fourth,19.87,32.66
C1168,Ford,City,2011,Petrol,Manual,White,First,21.95,9.82
C1169,Tata,City,2018,Petrol,Manual,Grey,First,12.64,34.96
C1170,Renault,Innova,2008,Hybrid,Automatic,Green,First,12.79,36.06
C1171,Honda,Nexon,2010,Petrol,Automatic,Grey,Fourth,10.25,21.32
C1172,Ford,Seltos,2008,Petrol,Manual,White,First,12.57,44.27
C1173,Hyundai,Creta,2009,Electric,Automatic,White,Fourth,10.94,19.12
C1174,Maruti,Nexon,2023,Hybrid,Automatic,Yellow,Fourth,11.81,7.81
C1175,Hyundai,XUV500,2016,Electric,Automatic,White,First,20.15,20.69
C1176,Hyundai,Seltos,2015,Electric,Automatic,Silver,First,14.17,10.61
C1177,Toyota,City,2015,Hybrid,Automatic,Red,Fourth,18.52,11.93
C1178,Renault,Seltos,2017,CNG,Manual,Grey,Second,21.95,12.16
C1179,Ford,Seltos,2020,CNG,Automatic,Blue,Third,11.36,35.43
C1180,Hyundai,Ecosport,2024,Electric,Automatic,White,First,11.75,13.96
C1181,Honda,Seltos,2014,CNG,Manual,Silver,Second,16.14,37.35
C1182,Honda,Swift,2014,Petrol,Manual,Blue,Second,18.12,49.68
C1183,Kia,Ecosport,2012,Petrol,Automatic,Yellow,Fourth,18.23,9.82
C1184,Kia,XUV500,2024,Hybrid,Manual,Green,Second,19.23,13.4
C1185,Mahindra,Seltos,2015,CNG,Automatic,Grey,First,14.93,44.68
C1186,Kia,Duster,2005,Electric,Manual,Green,First,13.7,12.32
C1187,Toyota,Swift,2017,Electric,Manual,Green,Second,16.83,28.15
C1188,Kia,Polo,2015,Diesel,Manual,Grey,First,17.36,8.45
C1189,Maruti,City,2015,Diesel,Manual,Green,Second,12.99,27.85
C1190,Hyundai,Swift,2020,Petrol,Manual,Red,Fourth,18.22,39.87
C1191,Maruti,Polo,2020,CNG,Automatic,Blue,First,10.29,17.13
C1192,Toyota,Ecosport,2017,CNG,Automatic,Green,Fourth,21.47,37.27
C1193,Kia,Nexon,2018,Petrol,Manual,Grey,First,20.58,43.92
C1194,Volkswagen,Creta,2022,Diesel,Manual,Black,Fourth,23.7,3.2
C1195,Mahindra,Innova,2016,CNG,Manual,Silver,Second,11.7,11.39
C1196,Tata,Polo,2008,Hybrid,Manual,White,Third,20.47,3.31
C1197,Mahindra,Polo,2020,Electric,Manual,Silver,First,16.4,16.84
C1198,Maruti,Creta,2024,Electric,Automatic,Yellow,Second,23.73,16.29
C1199,Volkswagen,City,2016,CNG,Automatic,Green,Second,17.38,24.18
C1200,Toyota,Nexon,2019,Hybrid,Manual,White,Third,17.76,48.26
C1201,Tata,Seltos,2011,Diesel,Manual,Blue,First,24,26.68
C1202,Tata,Seltos,2014,Hybrid,Automatic,Green,First,22.6,16.79
C1203,Maruti,Ecosport,2012,Electric,Manual,Black,Fourth,12.57,43.92
C1204,Maruti,Ecosport,2017,Petrol,Manual,Blue,Fourth,12.39,36.02
C1205,Ford,City,2011,Electric,Manual,Yellow,Third,22.09,46.41
C1206,Volkswagen,Seltos,2013,Electric,Automatic,Black,First,23.64,29.38
C1207,Renault,Nexon,2007,Electric,Manual,Blue,Third,16.25,32.7
C1208,Renault,City,2022,Diesel,Manual,Silver,Third,20.3,20.58
C1209,Hyundai,Innova,2020,Petrol,Automatic,Black,First,22.65,4.87
C1210,Volkswagen,City,2021,Electric,Manual,Red,Fourth,17.7,10.11
C1211,Volkswagen,Innova,2018,Electric,Manual,Silver,Fourth,10.62,25.58
C1212,Tata,Nexon,2010,CNG,Automatic,Black,Fourth,15.6,45.77
C1213,Toyota,Ecosport,2021,Hybrid,Automatic,Yellow,Third,14.92,19.15
C1214,Honda,Creta,2020,Electric,Automatic,White,Second,20.46,41.02
C1215,Hyundai,Duster,2013,CNG,Manual,Blue,Second,13.9,26.57
C1216,Toyota,Ecosport,2020,Diesel,Manual,Silver,First,19.46,41.23
C1217,Ford,Polo,2008,CNG,Automatic,Yellow,Second,23.28,17.29
C1218,Renault,Nexon,2023,Diesel,Automatic,Green,Second,23.17,17.15
C1219,Maruti,City,2007,Electric,Automatic,Green,Fourth,13.62,30.26
C1220,Renault,Creta,2021,Petrol,Manual,Red,Second,10.3,33.27
C1221,Volkswagen,Duster,2021,CNG,Automatic,Green,Second,10.21,33.26
C1222,Kia,City,2016,Diesel,Automatic,White,Fourth,15.49,47.13
C1223,Mahindra,Innova,2011,CNG,Manual,Green,Second,24.57,47.53
C1224,Mahindra,Creta,2023,Diesel,Automatic,White,First,12.07,24.35
C1225,Ford,Creta,2024,Hybrid,Manual,Yellow,Fourth,12.79,35.23
C1226,Honda,Nexon,2008,Hybrid,Manual,Red,Fourth,13.57,37.01
C1227,Honda,City,2011,Petrol,Manual,Yellow,Second,24.04,47.85
C1228,Volkswagen,Creta,2022,Diesel,Manual,Red,First,24.12,21.96
C1229,Tata,Swift,2005,Electric,Manual,Grey,Fourth,21.91,33.61
C1230,Tata,Swift,2013,Diesel,Automatic,Red,Second,15.21,4.21
C1231,Hyundai,Polo,2013,Hybrid,Manual,Grey,First,11.19,23.74
C1232,Ford,XUV500,2005,CNG,Manual,Green,Third,18.59,28.49
C1233,Renault,City,2017,Electric,Manual,Red,Second,20.22,11.45
C1234,Hyundai,Duster,2021,Hybrid,Automatic,Blue,Third,17.64,43.98
C1235,Hyundai,Creta,2018,Electric,Automatic,Black,First,16.18,37.04
C1236,Renault,Polo,2012,Hybrid,Automatic,Grey,Second,12.26,39.37
C1237,Hyundai,Nexon,2008,Hybrid,Manual,White,Second,12.62,9
C1238,Volkswagen,Nexon,2006,Petrol,Manual,Green,Second,22.28,26.64
C1239,Maruti,XUV500,2009,Electric,Manual,Yellow,Third,19.94,45.56
C1240,Tata,XUV500,2023,Electric,Automatic,Green,Third,10.49,13.15
C1241,Maruti,XUV500,2014,CNG,Manual,Silver,Second,22.55,34.26
C1242,Tata,XUV500,2008,Diesel,Manual,White,Third,21.7,25.25
C1243,Tata,XUV500,2024,Petrol,Automatic,Red,First,22.34,26.86
C1244,Ford,Nexon,2024,CNG,Automatic,Blue,First,19.38,23.02
C1245,Kia,Innova,2009,Petrol,Manual,White,Third,22.3,13.78
C1246,Hyundai,Duster,2007,Electric,Manual,Green,First,23.67,10.21
C1247,Toyota,City,2018,Petrol,Manual,Silver,First,11.29,44.27
C1248,Renault,Ecosport,2024,Hybrid,Automatic,Silver,Fourth,16.99,45.23
C1249,Honda,Ecosport,2010,CNG,Automatic,Silver,Fourth,23.9,36.54
C1250,Tata,City,2012,Electric,Manual,Grey,Second,11.29,45.4
C1251,Renault,Nexon,2022,Electric,Automatic,White,First,21.21,37.2
C1252,Hyundai,Polo,2013,Electric,Automatic,Green,Second,12.65,25.98
C1253,Volkswagen,City,2008,Petrol,Manual,Red,Fourth,24.49,9.89
C1254,Toyota,Creta,2006,CNG,Automatic,Black,Second,10.02,13.04
C1255,Mahindra,Creta,2009,Hybrid,Automatic,Green,Third,12.09,32.22
C1256,Renault,XUV500,2017,CNG,Automatic,Black,Second,16.39,21.65
C1257,Volkswagen,City,2013,Diesel,Automatic,Red,Third,13.5,47.56
C1258,Renault,Ecosport,2014,Hybrid,Automatic,Blue,Fourth,15.32,31.44
C1259,Hyundai,Swift,2011,Petrol,Manual,Grey,Fourth,20.68,35.86
C1260,Honda,Swift,2006,Electric,Manual,Red,Second,21.47,25.1
C1261,Toyota,City,2015,Petrol,Manual,Silver,Third,18.95,43.08
C1262,Maruti,Polo,2015,Hybrid,Manual,Silver,Second,20.75,3.72
C1263,Renault,City,2008,Petrol,Automatic,Yellow,Second,13.92,46.4
C1264,Hyundai,Polo,2013,Diesel,Automatic,Black,Second,21.88,38.43
C1265,Kia,Seltos,2012,CNG,Manual,Red,Third,19.85,36.55
C1266,Ford,City,2020,Electric,Manual,White,Fourth,10.67,39.36
C1267,Kia,Duster,2020,Hybrid,Manual,Red,Third,12.79,46.29
C1268,Hyundai,City,2014,CNG,Automatic,Grey,First,12.21,24.82
C1269,Maruti,Seltos,2006,Hybrid,Automatic,White,Second,14.48,29.48
C1270,Maruti,Swift,2014,Diesel,Automatic,Grey,First,22.98,13.51
C1271,Mahindra,Swift,2005,Electric,Manual,White,Third,14.6,8.15
C1272,Maruti,Creta,2006,Diesel,Automatic,Grey,Third,23.49,18.89
C1273,Tata,Polo,2005,CNG,Automatic,Grey,First,19.96,34.32
C1274,Honda,Swift,2020,Hybrid,Automatic,White,Third,11.73,36.76
C1275,Ford,Innova,2006,Electric,Manual,White,First,14.87,15.05
C1276,Mahindra,Innova,2009,Hybrid,Automatic,Silver,Fourth,10.47,8.49
C1277,Hyundai,Ecosport,2019,CNG,Manual,Green,Third,19.48,39.51
C1278,Kia,Seltos,2024,CNG,Manual,Yellow,Fourth,18.83,3.54
C1279,Honda,City,2010,CNG,Manual,Grey,First,22.94,44.35
C1280,Hyundai,Seltos,2020,Hybrid,Automatic,Black,First,18.58,46.47
C1281,Hyundai,Creta,2010,Petrol,Automatic,Grey,Fourth,19.82,38.39
C1282,Renault,Nexon,2023,Electric,Manual,White,Third,22.85,34.99
C1283,Mahindra,XUV500,2005,CNG,Manual,Black,Third,22.76,48.21
C1284,Mahindra,City,2006,Petrol,Automatic,Blue,Second,12,14
C1285,Hyundai,Innova,2016,Diesel,Automatic,Red,Second,16.73,11.67
C1286,Volkswagen,Swift,2007,Diesel,Automatic,Green,First,13.65,30.84
C1287,Volkswagen,Ecosport,2011,Electric,Manual,Yellow,Third,19.24,26.25
C1288,Toyota,Ecosport,2006,CNG,Automatic,Grey,Third,20.44,21.78
C1289,Volkswagen,XUV500,2008,CNG,Automatic,Silver,Second,12.36,44.55
C1290,Honda,Seltos,2010,Diesel,Automatic,Blue,Fourth,12.96,17.13
C1291,Tata,Ecosport,2010,Hybrid,Automatic,Silver,Second,22.06,3.98
C1292,Hyundai,Creta,2019,Hybrid,Automatic,Yellow,Third,16.57,42.44
C1293,Kia,Creta,2020,Petrol,Automatic,Green,Second,16.22,16.01
C1294,Tata,City,2017,Petrol,Automatic,Red,Third,18.07,42.79
C1295,Maruti,Nexon,2023,Electric,Automatic,Black,Third,12.53,39.94
C1296,Renault,Nexon,2008,CNG,Manual,White,First,17.6,49.13
C1297,Maruti,City,2020,CNG,Manual,Silver,First,24.09,23.12
C1298,Maruti,XUV500,2007,Petrol,Automatic,Silver,First,20.72,35.47
C1299,Volkswagen,Innova,2009,CNG,Manual,Yellow,Third,17.33,40.56
C1300,Honda,Polo,2012,Petrol,Automatic,Black,Fourth,15.98,34.9
C1301,Ford,Seltos,2024,Electric,Automatic,Black,Third,15.53,24.77
C1302,Hyundai,Duster,2010,Electric,Automatic,Red,Fourth,18.22,48.4
C1303,Renault,City,2023,Electric,Manual,Blue,Third,21.46,6.43
C1304,Hyundai,Seltos,2007,Hybrid,Manual,White,Second,13.59,14.82
C1305,Kia,City,2018,CNG,Automatic,Yellow,Third,11.78,36.68
C1306,Hyundai,Duster,2015,Diesel,Automatic,Black,First,15.58,39.77
C1307,Maruti,XUV500,2014,CNG,Automatic,Red,Fourth,16.02,21.68
C1308,Volkswagen,Duster,2013,Petrol,Manual,Silver,Second,20.14,44.72
C1309,Hyundai,City,2015,Hybrid,Manual,Grey,Third,12.77,33.65
C1310,Tata,Ecosport,2012,CNG,Manual,Blue,Fourth,23.5,6.82
C1311,Tata,Ecosport,2023,Diesel,Automatic,Silver,Second,16.11,41.92
C1312,Ford,Duster,2015,Hybrid,Automatic,White,Third,16.35,5.65
C1313,Toyota,City,2016,Petrol,Automatic,Black,First,12.06,41.86
C1314,Kia,Innova,2008,Electric,Manual,Red,Third,20.89,29.99
C1315,Renault,Seltos,2006,Hybrid,Manual,Black,Second,24.53,20.73
C1316,Ford,Ecosport,2005,Diesel,Automatic,Red,Second,13.29,14.8
C1317,Volkswagen,Duster,2011,Diesel,Manual,Green,First,15.53,17.89
C1318,Ford,Ecosport,2016,Electric,Automatic,Silver,Fourth,22.18,40.19
C1319,Honda,Creta,2024,Diesel,Automatic,Blue,First,24.07,7.98
C1320,Maruti,City,2019,CNG,Manual,Red,Fourth,14.36,11.79
C1321,Kia,City,2016,Petrol,Automatic,Green,First,17.24,13.89
C1322,Tata,Innova,2008,Diesel,Automatic,Black,Fourth,13.38,5.28
C1323,Tata,Creta,2013,Electric,Manual,Blue,Fourth,16.55,42.45
C1324,Volkswagen,XUV500,2019,Petrol,Automatic,Yellow,First,12.68,39.82
C1325,Renault,Innova,2013,Electric,Manual,Yellow,Third,15.38,24.87
C1326,Mahindra,Duster,2018,Hybrid,Manual,White,Second,23.29,13.5
C1327,Volkswagen,Swift,2011,Diesel,Manual,White,Second,14.69,25.04
C1328,Maruti,Innova,2022,Electric,Automatic,Silver,Fourth,22.08,3.55
C1329,Volkswagen,Nexon,2020,Diesel,Manual,Red,Third,22.6,39.56
C1330,Toyota,Polo,2007,Hybrid,Automatic,Red,Fourth,12.05,9.45
C1331,Honda,XUV500,2016,Hybrid,Manual,Blue,Third,19.02,6.9
C1332,Toyota,Ecosport,2018,Hybrid,Manual,Yellow,Third,19.03,10.79
C1333,Renault,Seltos,2021,Petrol,Manual,White,Third,11.47,12.75
C1334,Volkswagen,Polo,2017,Electric,Automatic,White,First,15.73,19.33
C1335,Volkswagen,Seltos,2016,Electric,Manual,Grey,First,10.55,30.48
C1336,Maruti,Innova,2013,Petrol,Automatic,Green,Fourth,14.39,13.11
C1337,Toyota,Swift,2008,Diesel,Automatic,Red,Fourth,15.31,11.03
C1338,Tata,Swift,2008,CNG,Manual,Blue,Third,24.14,23.05
C1339,Volkswagen,Seltos,2019,Petrol,Automatic,Grey,Second,15.23,12.63
C1340,Maruti,Creta,2022,Electric,Automatic,Yellow,Fourth,18.5,46.64
C1341,Hyundai,Nexon,2018,CNG,Automatic,Grey,First,22.03,19.43
C1342,Toyota,City,2009,Electric,Manual,Green,First,10.85,39.28
C1343,Honda,Duster,2017,Petrol,Manual,Yellow,First,19.76,37.6
C1344,Maruti,Swift,2017,CNG,Automatic,Silver,Third,20.12,28.26
C1345,Renault,Creta,2019,Electric,Automatic,Red,Fourth,10.38,20.71
